cl_method,performance,lb_performance,ub_performance,forgetting,lb_forgetting,ub_forgetting,total_normalized_ft,lb_total_normalized_ft,ub_total_normalized_ft
agem,0.0701,0.0648,0.0761,0.7137000000000001,0.6993,0.72875,0.1506840347695319,0.1206449617044913,0.1793194244989595
ewc,0.6033999999999999,0.5658000000000001,0.6376250000000001,0.021050000000000003,-0.0018499999999999968,0.05235000000000001,-0.18471273437458252,-0.245969365402255,-0.1312365116587878
finetuning,0.054500000000000014,0.0529,0.05635,0.73415,0.7204249999999999,0.74785,0.2017661011761819,0.1697633569687606,0.23101520359486755
l2,0.43339999999999995,0.391475,0.4729,0.017099999999999997,0.004500000000000001,0.031275,-0.729529573845005,-0.8437914388050148,-0.6235268197117037
mas,0.51125,0.4901,0.5338750000000001,0.0027500000000000033,-0.012099999999999996,0.017050000000000003,-0.5201644738645742,-0.5816861871665058,-0.4692230555035478
packnet,0.8032105263157895,0.7869473684210526,0.8192631578947369,-0.0025789473684210487,-0.011394736842105256,0.005184210526315796,0.179704753212159,0.1399632555059092,0.21429425266742014
reservoir,0.12142105263157892,0.09228947368421053,0.14852631578947367,0.07478947368421054,0.05421052631578947,0.09602631578947367,-1.33752207690937,-1.4272033641216906,-1.2643394117768476
vcl,0.47729999999999995,0.45504999999999995,0.5003249999999999,0.0078,-0.005325000000000005,0.0211,-0.4778187400258592,-0.5482765217321706,-0.4134350464035622
mtl,0.5477000000000001,0.52875,0.5657000000000001,,,,,,
mtl_popart,0.5773,0.55325,0.6015,,,,,,
mtl@10M,0.506,0.47475,0.5359,,,,,,
mtl_popart@10M,0.6489,0.6265499999999999,0.6708000000000001,,,,,,
